,Models,ModelName,Train,hex_Ef,spl_Ef,tet_Ef,vac_Ef
274,SNAP,19-22,Int4,0.1643098746845297,-0.1048286136333137,-0.3207629765109295,0.895951398924338
275,SNAP,15-23,Int4,-0.2632569109418894,-0.1158346777839912,0.096056143696096,0.9854254099276464
276,SNAP,15-16,Int4,-0.2640356905716511,-0.116792214626351,0.0955433678291857,0.9859062180412566
277,SNAP,21-12,Int4,1.184938905567839,0.2392494980681101,0.6305495445944791,-0.7038027970145238
278,SNAP,20-21,Int4,0.1795396433583497,-0.0724623061750903,-0.2266967656624491,0.8498757039837417
279,SNAP,15-28,Int4,-0.259457793253789,-0.1111698869405525,0.0985587674249197,0.983062260204591
280,SNAP,14-27,Int4,-0.3710964798525661,-0.22457910450228,0.1390365260024042,1.0111022825619638
281,SNAP,51-10,Int4,0.874980196220521,0.6922033175535278,1.261170184041689,-0.1537292513620277
282,SNAP,19-3,Int4,0.1621293618522176,-0.1089703139526733,-0.323935511429027,0.8981038799200965
283,SNAP,41-32,Int4,0.9934533141023424,1.032574164749004,1.4251291877069274,-0.5690764843558895
284,SNAP,19-33,Int4,0.1991668981474926,-0.0403240724814724,-0.2705221993743145,0.8593070829838505
